Cohort,Animal,Date or Date Range Start,Date Range End,MATRR TissueType Name,Shelf,Drawer,Tower,Box #,Available samples (non reserved),Freezer name
INIA2,25087,04/13/09,04/24/09,Area 46,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25090,04/13/09,04/24/09,Area 46,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25091,04/13/09,04/24/09,Area 46,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25093,04/13/09,04/24/09,Area 46,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25094,04/13/09,04/24/09,Area 46,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25095,04/13/09,04/24/09,Area 46,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25096,04/13/09,04/24/09,Area 46,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25097,04/13/09,04/24/09,Area 46,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25098,04/13/09,04/24/09,Area 46,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25099,04/13/09,04/24/09,Area 46,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25100,04/13/09,04/24/09,Area 46,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25086,04/13/09,04/24/09,Area 46,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25087,04/13/09,04/24/09,Area 46,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25090,04/13/09,04/24/09,Area 46,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25091,04/13/09,04/24/09,Area 46,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25093,04/13/09,04/24/09,Area 46,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25094,04/13/09,04/24/09,Area 46,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25095,04/13/09,04/24/09,Area 46,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25096,04/13/09,04/24/09,Area 46,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25097,04/13/09,04/24/09,Area 46,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25098,04/13/09,04/24/09,Area 46,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25099,04/13/09,04/24/09,Area 46,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25100,04/13/09,04/24/09,Area 46,2,1,8,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25086,04/13/09,04/24/09,Area 46,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25087,04/13/09,04/24/09,Area 46,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25090,04/13/09,04/24/09,Area 46,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25091,04/13/09,04/24/09,Area 46,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25093,04/13/09,04/24/09,Area 46,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25094,04/13/09,04/24/09,Area 46,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25095,04/13/09,04/24/09,Area 46,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25096,04/13/09,04/24/09,Area 46,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25097,04/13/09,04/24/09,Area 46,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25098,04/13/09,04/24/09,Area 46,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25099,04/13/09,04/24/09,Area 46,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25100,04/13/09,04/24/09,Area 46,2,1,8,4,,OHSU -80 Freezer #3 (Tissue Bank)
,5404,02/20/02,,,2,0,8,2,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,5497,02/20/02,,,2,0,8,2,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,6102,01/12/01,04/25/01,,3,0,9,5,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,6306,07/28/99,10/18/00,,3,0,9,9,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,6306,10/25/00,10/31/00,,3,0,9,10,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,6306,11/07/01,05/22/02,,3,0,9,11,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,6099,07/01/99,01/01/00,,3,0,9,12,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,6101,03/17/03,04/22/03,,3,0,9,19,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,6302,03/17/03,04/22/03,,3,0,9,19,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,6304,03/17/03,04/22/03,,3,0,9,19,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,6305,03/17/03,04/22/03,,3,0,9,19,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,6306,03/17/03,04/22/03,,3,0,9,19,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,7062,03/17/03,04/22/03,,3,0,9,19,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,7064,03/17/03,04/22/03,,3,0,9,19,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,7065,03/17/03,04/22/03,,3,0,9,19,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,7066,03/17/03,04/22/03,,3,0,9,19,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,7067,03/17/03,04/22/03,,3,0,9,19,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,7068,03/17/03,04/22/03,,3,0,9,19,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,7069,03/17/03,04/22/03,,3,0,9,19,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,2391,01/05/05,02/15/05,,3,0,9,20,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,2661,01/05/05,02/15/05,,3,0,9,20,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,4889,01/05/05,02/15/05,,3,0,9,20,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,6107,01/05/05,02/15/05,,3,0,9,20,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,6803,01/05/05,02/15/05,,3,0,9,20,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
,6808,01/05/05,02/15/05,,3,0,9,20,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
INIA2,25086,05/10/06,,,3,0,10,1,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
INIA2,25087,05/10/06,,,3,0,10,1,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
INIA2,25090,05/10/06,,,3,0,10,1,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
INIA2,25091,05/10/06,,,3,0,10,1,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
INIA2,25093,05/10/06,,,3,0,10,1,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
INIA2,25094,05/10/06,,,3,0,10,1,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
INIA2,25095,05/10/06,,,3,0,10,1,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
INIA2,25096,05/10/06,,,3,0,10,1,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
INIA2,25097,05/10/06,,,3,0,10,1,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
INIA2,25098,05/10/06,,,3,0,10,1,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
INIA2,25099,05/10/06,,,3,0,10,1,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
INIA2,25100,05/10/06,,,3,0,10,1,,OHSU -80 FREEZER (#1?) (NOW IN BETSY'S)
INIA2,25086,04/13/09,04/24/09,Area 10,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25087,04/13/09,04/24/09,Area 10,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25090,04/13/09,04/24/09,Area 10,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25091,04/13/09,04/24/09,Area 10,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25093,04/13/09,04/24/09,Area 10,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25094,04/13/09,04/24/09,Area 10,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25095,04/13/09,04/24/09,Area 10,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25096,04/13/09,04/24/09,Area 10,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25097,04/13/09,04/24/09,Area 10,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25098,04/13/09,04/24/09,Area 10,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25099,04/13/09,04/24/09,Area 10,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25100,04/13/09,04/24/09,Area 10,2,1,8,2,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25086,04/13/09,04/24/09,Fat (Abdominal),2,5,6,17,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25087,04/13/09,04/24/09,Fat (Abdominal),2,5,6,17,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25090,04/13/09,04/24/09,Fat (Abdominal),2,5,6,17,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25091,04/13/09,04/24/09,Fat (Abdominal),2,5,6,17,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25093,04/13/09,04/24/09,Fat (Abdominal),2,5,6,17,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25094,04/13/09,04/24/09,Fat (Abdominal),2,5,6,17,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25095,04/13/09,04/24/09,Fat (Abdominal),2,5,6,17,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25096,04/13/09,04/24/09,Fat (Abdominal),2,5,6,17,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25097,04/13/09,04/24/09,Fat (Abdominal),2,5,6,17,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25098,04/13/09,04/24/09,Fat (Abdominal),2,5,6,17,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25099,04/13/09,04/24/09,Fat (Abdominal),2,5,6,17,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25100,04/13/09,04/24/09,Fat (Abdominal),2,5,6,17,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26206,01/13/09,01/22/09,Fat (Abdominal),1,3,3,12,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26215,01/13/09,01/22/09,Fat (Abdominal),1,3,3,12,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26216,01/13/09,01/22/09,Fat (Abdominal),1,3,3,12,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26217,01/13/09,01/22/09,Fat (Abdominal),1,3,3,12,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26218,01/13/09,01/22/09,Fat (Abdominal),1,3,3,12,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26219,01/13/09,01/22/09,Fat (Abdominal),1,3,3,12,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26220,01/13/09,01/22/09,Fat (Abdominal),1,3,3,12,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26206,01/13/09,01/22/09,Fat (Abdominal),1,2,3,8,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26215,01/13/09,01/22/09,Fat (Abdominal),1,2,3,8,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26216,01/13/09,01/22/09,Fat (Abdominal),1,2,3,8,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26217,01/13/09,01/22/09,Fat (Abdominal),1,2,3,8,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26218,01/13/09,01/22/09,Fat (Abdominal),1,2,3,8,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26219,01/13/09,01/22/09,Fat (Abdominal),1,2,3,8,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2_Housing,26220,01/13/09,01/22/09,Fat (Abdominal),1,2,3,8,,OHSU -80 Freezer #3 (Tissue Bank)
INIA3,25058,05/13/08,05/30/08,Fat (Abdominal),1,5,5,0,,OHSU -80 Freezer #3 (Tissue Bank)
INIA3,25059,05/13/08,05/30/08,Fat (Abdominal),1,5,5,0,,OHSU -80 Freezer #3 (Tissue Bank)
INIA3,25064,05/13/08,05/30/08,Fat (Abdominal),1,5,5,0,,OHSU -80 Freezer #3 (Tissue Bank)
INIA3,25065,05/13/08,05/30/08,Fat (Abdominal),1,5,5,0,,OHSU -80 Freezer #3 (Tissue Bank)
INIA3,25072,05/13/08,05/30/08,Fat (Abdominal),1,5,5,0,,OHSU -80 Freezer #3 (Tissue Bank)
INIA3,25073,05/13/08,05/30/08,Fat (Abdominal),1,5,5,0,,OHSU -80 Freezer #3 (Tissue Bank)
INIA3,25076,05/13/08,05/30/08,Fat (Abdominal),1,5,5,0,,OHSU -80 Freezer #3 (Tissue Bank)
INIA3,25077,05/13/08,05/30/08,Fat (Abdominal),1,5,5,0,,OHSU -80 Freezer #3 (Tissue Bank)
INIA3,25080,05/13/08,05/30/08,Fat (Abdominal),1,5,5,0,,OHSU -80 Freezer #3 (Tissue Bank)
INIA3,25081,05/13/08,05/30/08,Fat (Abdominal),1,5,5,0,,OHSU -80 Freezer #3 (Tissue Bank)
INIA3,25084,05/13/08,05/30/08,Fat (Abdominal),1,5,5,0,,OHSU -80 Freezer #3 (Tissue Bank)
INIA3,25085,05/13/08,05/30/08,Fat (Abdominal),1,5,5,0,,OHSU -80 Freezer #3 (Tissue Bank)
INIA2,25100,04/13/09,04/24/09,Fat (Abdominal),2,5,10,0,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,20336,02/23/10,03/02/10,Fat (Abdominal),3,3,12,9,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,20357,02/23/10,03/02/10,Fat (Abdominal),3,3,12,9,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,21117,02/23/10,03/02/10,Fat (Abdominal),3,3,12,9,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,21119,02/23/10,03/02/10,Fat (Abdominal),3,3,12,9,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,21177,02/23/10,03/02/10,Fat (Abdominal),3,3,12,9,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,21178,02/23/10,03/02/10,Fat (Abdominal),3,3,12,9,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,21607,02/23/10,03/02/10,Fat (Abdominal),3,3,12,9,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,22213,02/23/10,03/02/10,Fat (Abdominal),3,3,12,9,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,22215,02/23/10,03/02/10,Fat (Abdominal),3,3,12,9,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,22427,02/23/10,03/02/10,Fat (Abdominal),3,3,12,9,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,22517,02/23/10,03/02/10,Fat (Abdominal),3,3,12,9,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,22570,02/23/10,03/02/10,Fat (Abdominal),3,3,12,9,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,20336,02/23/10,03/02/10,Fat (Abdominal),4,1,17,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,20357,02/23/10,03/02/10,Fat (Abdominal),4,1,17,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,21117,02/23/10,03/02/10,Fat (Abdominal),4,1,17,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,21119,02/23/10,03/02/10,Fat (Abdominal),4,1,17,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,21177,02/23/10,03/02/10,Fat (Abdominal),4,1,17,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,21178,02/23/10,03/02/10,Fat (Abdominal),4,1,17,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,21607,02/23/10,03/02/10,Fat (Abdominal),4,1,17,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,22213,02/23/10,03/02/10,Fat (Abdominal),4,1,17,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,22215,02/23/10,03/02/10,Fat (Abdominal),4,1,17,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,22427,02/23/10,03/02/10,Fat (Abdominal),4,1,17,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,22517,02/23/10,03/02/10,Fat (Abdominal),4,1,17,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA4,22570,02/23/10,03/02/10,Fat (Abdominal),4,1,17,3,,OHSU -80 Freezer #3 (Tissue Bank)
INIA5 ,22770,05/04/10,05/14/10,Fat (Abdominal),2,0,8,2,,OHSU -80 Freezer #4
INIA5 ,23222,05/04/10,05/14/10,Fat (Abdominal),2,0,8,2,,OHSU -80 Freezer #4
INIA5 ,23582,05/04/10,05/14/10,Fat (Abdominal),2,0,8,2,,OHSU -80 Freezer #4
INIA5 ,23762,05/04/10,05/14/10,Fat (Abdominal),2,0,8,2,,OHSU -80 Freezer #4
INIA5 ,23764,05/04/10,05/14/10,Fat (Abdominal),2,0,8,2,,OHSU -80 Freezer #4
INIA5 ,23773,05/04/10,05/14/10,Fat (Abdominal),2,0,8,2,,OHSU -80 Freezer #4
INIA5 ,23778,05/04/10,05/14/10,Fat (Abdominal),2,0,8,2,,OHSU -80 Freezer #4
INIA5 ,23779,05/04/10,05/14/10,Fat (Abdominal),2,0,8,2,,OHSU -80 Freezer #4
INIA5 ,23784,05/04/10,05/14/10,Fat (Abdominal),2,0,8,2,,OHSU -80 Freezer #4
INIA5 ,23838,05/04/10,05/14/10,Fat (Abdominal),2,0,8,2,,OHSU -80 Freezer #4
INIA5 ,24154,05/04/10,05/14/10,Fat (Abdominal),2,0,8,2,,OHSU -80 Freezer #4
INIA5 ,24340,05/04/10,05/14/10,Fat (Abdominal),2,0,8,2,,OHSU -80 Freezer #4
INIA5 ,24698,05/04/10,05/14/10,Fat (Abdominal),2,0,8,2,,OHSU -80 Freezer #4
INIA5 ,22770,05/04/10,05/14/10,Fat (Abdominal),2,0,8,7,,OHSU -80 Freezer #4
INIA5 ,23222,05/04/10,05/14/10,Fat (Abdominal),2,0,8,7,,OHSU -80 Freezer #4
INIA5 ,23582,05/04/10,05/14/10,Fat (Abdominal),2,0,8,7,,OHSU -80 Freezer #4
INIA5 ,23762,05/04/10,05/14/10,Fat (Abdominal),2,0,8,7,,OHSU -80 Freezer #4
INIA5 ,23764,05/04/10,05/14/10,Fat (Abdominal),2,0,8,7,,OHSU -80 Freezer #4
INIA5 ,23773,05/04/10,05/14/10,Fat (Abdominal),2,0,8,7,,OHSU -80 Freezer #4
INIA5 ,23778,05/04/10,05/14/10,Fat (Abdominal),2,0,8,7,,OHSU -80 Freezer #4
INIA5 ,23779,05/04/10,05/14/10,Fat (Abdominal),2,0,8,7,,OHSU -80 Freezer #4
INIA5 ,23784,05/04/10,05/14/10,Fat (Abdominal),2,0,8,7,,OHSU -80 Freezer #4
INIA5 ,23838,05/04/10,05/14/10,Fat (Abdominal),2,0,8,7,,OHSU -80 Freezer #4
INIA5 ,24154,05/04/10,05/14/10,Fat (Abdominal),2,0,8,7,,OHSU -80 Freezer #4
INIA5 ,24340,05/04/10,05/14/10,Fat (Abdominal),2,0,8,7,,OHSU -80 Freezer #4
INIA5 ,24698,05/04/10,05/14/10,Fat (Abdominal),2,0,8,7,,OHSU -80 Freezer #4
INIA5 ,22770,05/04/10,05/14/10,Fat (Abdominal),2,0,7,12,,OHSU -80 Freezer #4
INIA5 ,23222,05/04/10,05/14/10,Fat (Abdominal),2,0,7,12,,OHSU -80 Freezer #4
INIA5 ,23582,05/04/10,05/14/10,Fat (Abdominal),2,0,7,12,,OHSU -80 Freezer #4
INIA5 ,23762,05/04/10,05/14/10,Fat (Abdominal),2,0,7,12,,OHSU -80 Freezer #4
INIA5 ,23764,05/04/10,05/14/10,Fat (Abdominal),2,0,7,12,,OHSU -80 Freezer #4
INIA5 ,23773,05/04/10,05/14/10,Fat (Abdominal),2,0,7,12,,OHSU -80 Freezer #4
INIA5 ,23778,05/04/10,05/14/10,Fat (Abdominal),2,0,7,12,,OHSU -80 Freezer #4
INIA5 ,23779,05/04/10,05/14/10,Fat (Abdominal),2,0,7,12,,OHSU -80 Freezer #4
INIA5 ,23784,05/04/10,05/14/10,Fat (Abdominal),2,0,7,12,,OHSU -80 Freezer #4
INIA5 ,23838,05/04/10,05/14/10,Fat (Abdominal),2,0,7,12,,OHSU -80 Freezer #4
INIA5 ,24154,05/04/10,05/14/10,Fat (Abdominal),2,0,7,12,,OHSU -80 Freezer #4
INIA5 ,24340,05/04/10,05/14/10,Fat (Abdominal),2,0,7,12,,OHSU -80 Freezer #4
INIA5 ,24698,05/04/10,05/14/10,Fat (Abdominal),2,0,7,12,,OHSU -80 Freezer #4
INIA RHESUS MR-E,1466,10/03/05,,,,0,,,,WFU Freezer
