"SAMPLE_NAME","OHSU-00001","OHSU-00002","OHSU-00003","OHSU-00004","OHSU-00005","OHSU-00006","OHSU-00007","OHSU-00008","OHSU-00009","OHSU-00010","OHSU-00011","OHSU-00012","OHSU-00013","OHSU-00014","OHSU-00015","OHSU-00016","OHSU-00017","OHSU-00018","OHSU-00019","OHSU-00020","OHSU-00021","OHSU-00022","OHSU-00023","OHSU-00024","OHSU-00025","OHSU-00026","OHSU-00027","OHSU-00028","OHSU-00029","OHSU-00030"
"1-arachidonoylglycerophosphoethanolamine*",0.334582,1.596107,1.346123,1.173018,0.910855,1.529096,1.065828,1.558275,0.961159,1.015455,0.750897,1.613234,0.44,1.466804,1.254707,0.515897,1.057543,1.270329,0.455764,0.762898,0.984545,0.8723,0.975008,1.987888,1.286062,0.566294,2.172189,0.714553,0.470254,0.277946
"1-arachidonoylglycerophosphoinositol*",0.939329,0.721477,1.092515,0.725623,0.659278,0.551896,1.134401,1.074389,0.725301,0.739345,1.008825,1.148562,1.249918,1.180129,0.991175,1.063694,1.848202,0.977983,1.486052,0.668878,0.856265,1.480387,0.853628,2.116902,0.901791,1.31008,0.930528,1.662059,1.484708,0.812997
"1-arachidoylglycerophosphocholine",1.168195,2.881848,2.003137,2.842557,1.796549,1.762878,2.027559,1.78246,2.766186,1.14541,0.626306,0.837696,1.064715,0.635076,0.713648,1.007145,0.636927,0.6432,1.045495,0.756716,0.790405,0.699867,0.589002,1.277091,0.915977,0.89668,0.60123,0.992855,1.254672,0.812265
"1-docosahexaenoylglycerophosphocholine*",0.401397,0.608522,0.495489,0.99325,0.596334,0.538803,0.660913,0.586612,0.544064,0.369719,0.673357,0.651244,1.024278,1.189596,1.24586,1.420464,0.563369,1.047488,1.145429,0.920698,1.066675,1.13493,1.00675,1.144439,1.620775,1.367905,0.791217,2.784209,1.283114,1.220405
"1-docosapentaenoylglycerophosphocholine*",0.563652,0.875905,0.594621,1.116124,0.539747,1.181716,0.816144,0.561534,0.840114,0.559292,0.716569,1.059648,1.247391,1.183532,1.01083,2.119515,0.632134,1.454401,0.961935,0.913463,1.121933,1.241222,0.857398,1.443783,0.539747,1.933771,0.962621,2.871158,1.556827,1
"1-eicosadienoylglycerophosphocholine*",0.706699,1.025832,0.755353,1.544667,0.930818,0.791792,1.614797,1.161973,1.286368,0.761697,0.915295,0.95324,1.459244,1.755216,0.974168,1.377418,0.739761,1.080448,1.302718,0.897927,0.550047,1.181747,0.674877,1.929241,0.771223,1.050802,0.772125,1.559337,1.577665,0.553726
"1-eicosatrienoylglycerophosphocholine*",0.962615,1.123854,0.959187,1.111701,1.155335,1.138927,1.875944,0.936817,1.166995,1.037385,0.580879,0.75923,1.038021,0.920722,0.881583,1.652227,0.413986,0.944316,1.183657,0.723334,0.487343,1.223634,0.691907,1.05029,0.839041,1.419145,0.857895,1.91247,1.30917,0.514042
"1-heptadecanoylglycerophosphocholine",0.803841,1.027085,0.915165,1.077941,1.041206,0.972915,1.149535,0.943156,1.254541,0.776883,0.82289,0.879687,2.385743,1.890203,1.690263,1.433853,0.736132,0.801394,0.777326,1.125198,0.800062,0.682647,0.580883,1.059337,1.418866,1.188187,1.073779,0.631614,1.032919,0.942544
"1-linoleoylglycerol (1-monolinolein)",0.653231,1.794196,2.709293,2.140335,0.801422,0.653231,1.733147,1.0792,0.653231,0.92567,1.65009,0.699039,0.921649,0.653231,1.210324,0.653231,0.653231,0.729094,0.719868,0.793194,1.349904,1.074255,0.86356,0.99826,1.78769,0.8851,2.228856,1,0.675465,1.844733
"1-linoleoylglycerophosphocholine",0.908786,0.981506,0.924712,1.095541,0.980578,1.010684,1.052107,0.88899,0.9384,0.791884,0.989316,1.010698,1.059781,0.973823,1.037467,1.234477,0.798548,0.921458,1.044788,0.942983,0.970969,1.217951,0.950235,1.060948,1.161544,1.204903,1.199615,1.331219,1.241903,0.863455
"1-linoleoylglycerophosphoethanolamine*",0.393935,1.317322,1.004549,0.765416,0.99719,1.340212,0.775363,1.248321,1.00281,0.940816,1.237726,2.479843,0.938832,1.632002,1.296862,0.631202,1.852191,1.046488,0.629908,0.878053,0.757826,1.221127,0.970475,2.156508,1.19039,0.56293,3.387142,0.581632,0.51109,0.348621
"1-linoleoylglycerophosphoinositol*",1.252225,0.961719,0.820757,0.415842,1.046705,0.549174,0.74039,1.074535,0.516051,0.686839,1.576095,1.150679,1.355855,1.293855,1.288148,0.680764,1.334418,0.628852,1.342373,0.933368,1.038281,1.433067,0.754855,1.356773,0.841046,0.516496,1.081895,0.901855,1.066542,0.788259
"1-methylhistidine",2.607684,0.629652,0.332479,1.090976,1.002964,0.729155,0.613152,1.664535,1.245624,1.040058,1.02029,0.75022,1.091154,0.969403,1.429399,1.083522,0.572827,0.856449,1.198251,0.87881,1.067531,1.121361,0.825408,0.660104,0.850649,1.036506,0.639267,0.913719,1.616979,0.997036
"1-myristoylglycerophosphocholine",0.889309,0.711967,0.665411,1.368822,0.98405,0.720912,1.06762,0.951857,1.392539,1.094085,1.01595,1.553311,1.828437,1.712444,0.832322,1.314705,0.826239,0.74169,1.057239,0.849895,0.695112,1.465151,0.94505,1.127047,1.085064,0.916104,1.145757,0.840522,1.415888,0.81328
"1-octadecanol",1.011186,0.636239,0.988814,1.219899,0.853507,0.74272,1.148949,0.716515,1.224583,0.626802,1.261856,0.805901,0.940162,1.605786,0.943239,1.12078,1.086203,1.180763,1.553886,0.659263,0.849111,0.773441,1.088476,1.43146,0.82366,1.094886,0.817642,1.534885,2.559031,0.668164
"1-oleoylglycerophosphocholine",0.732707,0.98715,0.826066,1.116946,0.766479,0.894729,1.196517,0.787779,1.002271,0.799888,0.919091,1.600745,1.45227,1.428247,0.891953,1.986518,0.997729,1.025646,1.53224,0.910491,0.602713,1.564268,0.849028,1.440143,0.801799,1.623701,1.297194,1.501459,1.90844,0.596444
"1-oleoylglycerophosphoethanolamine",0.957091,0.738884,0.958344,0.994077,0.915799,0.900458,1.05092,0.670341,1.005923,0.548152,1.761118,2.670169,2.698811,1.699949,0.740784,1.025791,2.712424,1.157089,1.973705,0.581659,0.508871,1.455846,1.697251,2.708184,1.888661,0.89343,2.790617,0.656135,0.762367,0.77956
"1-oleoylglycerophosphoinositol*",0.85914,1.266611,1.23415,1.217122,0.77285,1.16556,1,0.895345,0.802301,0.905556,1.170729,1.251979,1.179839,1.328063,0.970277,0.772041,2.152726,0.363612,1.280965,0.780301,0.468773,1.116801,0.777323,1.608228,0.363612,0.363612,1.043742,0.363612,0.879682,0.583537
"1-palmitoleoylglycerophosphocholine*",0.729378,0.752117,0.56078,1.1483,0.76087,0.786728,1.034036,0.85444,1.187915,0.7064,0.656425,2.04472,1.841195,1.428414,0.778534,1.506441,1.138172,0.772052,1.889818,0.729995,0.470174,2.029249,1.117931,1.470951,0.804293,1.034325,1.043783,0.965964,2.187688,0.528252
"1-palmitoylglycerol (1-monopalmitin)",0.97385,1.980024,0.997365,1.213848,1.409748,1.24128,1.207738,0.963418,0.772567,1.049511,0.920204,1.446835,1.189036,0.875585,0.980913,0.848592,0.985677,0.866068,1.427145,1.030204,0.915061,1.425825,1.17821,0.698912,0.845567,1.002635,0.650518,1.03277,1.58346,0.650465
"1-palmitoylglycerophosphocholine",0.879717,1.013328,0.868986,0.956423,1.091656,0.993587,1.212489,0.823222,0.930112,0.941686,0.821337,1.103104,1.051849,1.035369,1.003141,1.450045,0.693037,0.892279,1.0785,1.054153,0.794289,1.084141,0.842928,0.984419,0.996859,1.345569,1.087278,1.423819,1.324954,0.865402
"1-palmitoylglycerophosphoethanolamine",0.688427,0.986776,0.832108,0.889835,0.84866,0.946217,0.71847,0.700104,0.931323,0.592979,1.338995,2.105113,1.396495,1.439754,1.114119,1.240209,1.628496,1.134734,1.327474,0.875893,1.013224,1.099065,1.369225,2.268532,1.751753,0.932287,1.893046,0.710726,0.736596,0.91936
"1-palmitoylglycerophosphoinositol*",1.137092,0.984374,1.096637,0.903306,1.128848,0.656108,0.971619,1.079116,0.895764,0.713501,1.394352,1.946251,1.881573,1.015626,1.343278,0.656108,1.187533,0.732843,1.811575,0.797061,0.695586,1.226903,0.866053,0.915998,0.843276,0.656108,0.889093,0.656108,1.213152,0.656108
"1-pentadecanoylglycerophosphocholine*",0.941311,1.115326,1.168253,0.974928,1.394876,0.837346,1.565672,0.86718,1.365804,1.119251,1,0.850075,1.495783,0.97826,1.423786,0.988351,0.892402,0.914972,1.028222,1.387365,1.113905,0.631255,0.77177,0.666533,1.156974,0.987827,0.959571,0.631255,1.276745,1.687588
"1-stearoylglycerophosphocholine",0.68639,0.79333,0.774359,0.982531,1.35241,0.846539,1.80419,1.037837,0.933117,1.383638,0.695447,0.551025,1.471158,1.145511,1.709607,1.437401,0.690839,0.868141,1.208386,0.633882,0.737149,1.017469,0.635055,1.619648,0.88464,1.045162,1.491732,2.483021,1.203246,0.613728
"1-stearoylglycerophosphoethanolamine",0.977565,0.912289,1.00496,0.99504,0.829135,0.861264,0.948974,0.652033,0.966977,0.518698,1.009283,2.064421,1.883145,1.512563,0.804426,1.206942,2.051372,1.401622,2.101879,0.474386,0.727514,1.228804,1.255533,2.198018,1.261675,1.055614,1.663042,0.915722,0.783349,0.788256
"1-stearoylglycerophosphoinositol",1.494695,2.450297,2.522713,2.368061,1.456424,1.49952,2.017049,2.985395,1.661785,1.767664,1.632622,0.980712,0.663877,1.047294,2.376685,0.762312,1.019288,0.844608,1.049731,0.742536,0.79532,0.828508,0.49611,0.898012,0.582509,0.49931,0.657409,0.536315,0.672274,0.358176
"10-heptadecenoate (17:1n7)",1.276607,1.624622,1.355068,1.600471,1.562407,1.655988,1.571072,2.020454,1.321338,1.434465,0.865511,1.176361,1.415045,0.914234,1.117701,0.716927,1.264487,0.971564,0.875403,0.766842,0.680759,0.666498,1.028437,0.851315,0.762964,0.710592,0.760323,0.555758,0.803887,0.906878
"10-nonadecenoate (19:1n9)",1.801626,2.810072,1.990428,2.773953,2.351872,2.198524,1.869152,2.615407,1.58299,1.712145,0.658485,0.97645,1.303161,1.030085,0.985272,0.732557,1.396832,0.889721,0.812689,0.585139,0.942468,0.487814,0.828267,1.020651,0.768542,0.83977,0.752151,0.509394,1.014728,0.947726
"10-undecenoate (11:1n1)",3.31145,2.816899,2.630994,2.860896,3.309458,1.847783,4.670068,3.680794,2.380275,3.150092,0.703353,0.703353,0.826882,0.703353,0.703353,1.177228,1,0.703353,0.771206,0.703353,0.721014,0.790166,0.703353,0.74043,0.804547,0.789128,0.703353,0.919379,0.710334,0.87152
"13-HODE + 9-HODE",2.926992,5.002565,4.972419,2.655255,2.483227,3.967884,2.946142,4.871136,2.797761,2.884659,0.921106,1.16402,1.024339,0.805044,0.70889,0.794231,1.107542,0.856489,0.851709,0.975661,0.667303,0.501252,0.871855,0.940983,1.366702,0.784814,1.350474,0.67209,0.689508,0.711797
"13-methylmyristic acid",1.021409,0.705741,1.095121,0.911543,0.849856,0.678665,1.116178,0.754781,1.035258,1.080326,1.186759,0.904594,0.981128,1.15473,1.094296,1.030176,1.099703,1.09375,1.051721,0.819211,1,0.821975,0.973498,1.026358,0.678665,0.992185,1.063513,0.989441,0.957095,0.714379
"2-aminoadipate",1.27953,1.159461,0.526841,1.097966,0.742444,0.942552,0.929387,4.967648,1.550045,1.824766,1.902417,0.366202,0.366202,1.03911,0.366202,0.425648,0.645092,1.59187,2.127291,1.176416,0.96089,0.366202,0.607545,0.366202,0.366202,0.366202,0.427389,0.924598,1.922318,0.625499
"2-aminobutyrate",1.108819,1.081074,0.880235,0.744852,0.887653,0.895454,1.702094,0.971626,0.719241,0.855532,1.299826,1.415047,0.642078,1.028455,0.905562,0.955224,1.380296,0.833369,1.045795,0.944145,2.202288,2.455103,0.813081,1.835674,0.759388,1.028374,2.732825,1.22008,0.951227,1.611714
"2-arachidonoylglycerophosphoethanolamine*",0.399801,1.89562,1.441687,1.174313,0.970918,1.690074,1.25001,1.556579,0.901943,0.399801,0.652358,1.218838,0.526657,1.075106,0.757112,0.526245,0.399801,1.288634,0.399801,0.8064,0.92657,1.029082,0.854627,1.726748,1.246338,0.555489,1.661149,0.72255,0.49352,0.399801
"2-hydroxybutyrate (AHB)",0.951604,1.373733,0.312689,0.769066,0.593236,0.94694,1.078211,0.988454,0.908623,1.067133,1.415131,0.875173,0.489236,1.281302,0.163477,0.737659,1.260429,1.183714,1.799493,1.011546,0.871813,1.496632,0.612866,1.185507,0.257164,1.106899,1.476301,1.951214,1.463539,0.797077
"2-hydroxyglutarate",0.962463,0.512336,1.125625,0.512336,0.803885,0.512336,1.036854,1.083325,0.956629,0.702975,0.738636,0.512336,2.386268,0.963114,1.07477,0.74548,2.535064,1.174012,1.291505,0.801527,0.732436,1.351745,2.74839,0.512336,0.556634,1.005429,0.994571,0.512336,1.801043,0.512336
"2-hydroxyisobutyrate",1.131895,1,1.167916,0.853007,1.455979,0.627237,0.925796,1.14926,0.725045,1.572302,1.201132,1.39576,1.488598,0.984705,0.638807,0.518625,1.899104,1.26302,0.783669,0.518625,1.121499,0.847492,0.518625,0.985845,0.829367,0.518625,1.809561,0.854945,0.815465,1.411454
"2-hydroxypalmitate",1.300407,1.005975,1.005494,0.961556,1.072034,0.978314,1.297979,1.102602,0.959379,1.083889,1.054958,1.318133,0.888695,0.740374,0.905561,0.837584,1.518714,1.137174,1.055373,0.714992,1.017386,1.075479,0.856145,0.843888,0.850523,0.896289,1.02775,0.912231,0.994506,0.840597
"2-hydroxystearate",0.793805,1.256762,0.855147,0.962102,0.956338,1.099785,1.144992,1.119872,1.197158,1.170646,0.78647,1.852907,0.576439,0.783243,1.233364,0.708003,1.354819,0.982759,1.255826,0.809001,0.81718,1.089374,0.506509,0.880837,0.706757,1.017241,1.039173,1.10532,1.019935,0.752621
"2-linoleoylglycerophosphocholine*",0.929367,0.986354,0.767133,1.293556,1.115997,0.931747,0.936471,0.864675,1.25698,0.666622,0.949113,1.164698,1.346015,1.310671,0.864094,1.17398,0.707056,0.85121,0.988086,0.721554,0.962145,1.422786,1.011914,1.418399,1.443915,1.227729,1.417258,1.574077,1.448413,0.813427
"2-linoleoylglycerophosphoethanolamine*",0.384224,1.416538,0.97364,0.685513,0.919894,1.681886,0.825903,1.026019,0.980137,0.55845,1.404494,3.160693,0.850751,1.470636,1.099188,0.664809,1.665927,1.089236,0.618207,1.019863,0.732292,1.544979,1.089033,2.130489,1.147461,0.619883,3.338798,0.560331,0.540836,0.246237
"2-methylbutyroylcarnitine",0.609898,0.801331,0.765432,0.966095,0.83613,0.703714,0.931103,0.714256,0.631877,0.515128,1.374684,1.06896,1.331279,1.169075,1.208229,0.79516,1.233666,1.066236,0.926384,1.090432,1.470329,0.725363,1.471002,1.261802,1.864703,0.840368,1.847859,1.033905,0.790769,1.115276
"2-oleoylglycerophosphocholine*",0.80685,0.901158,0.736498,0.831476,0.988519,1.011481,1.476249,0.54207,0.923961,0.926855,0.780188,1.810668,2.019865,1.5058,0.819231,2.531959,1.01633,0.914199,1.788142,0.941154,0.468829,1.626873,1.06008,1.526473,0.660434,1.866513,1.718713,1.903166,1.877275,0.54546
"2-oleoylglycerophosphoethanolamine*",0.4607,0.922645,1,1.016832,0.850235,1.636661,1.131895,0.802901,1.208407,0.657428,1.729937,2.248872,1.826104,1.210237,0.761339,0.619919,2.022838,0.571671,1.50023,0.973669,0.4607,1.024421,1.471963,2.301558,0.923913,0.795168,3.139591,0.651002,0.69684,0.697046
"2-palmitoylglycerophosphocholine*",0.78697,0.996143,0.797256,1.002776,1.050108,0.9248,0.985592,0.715217,1.128475,0.911612,0.813894,1.376033,1.637865,1.676447,0.997224,1.900896,0.681454,0.779938,1.11946,0.842879,0.678708,1.122806,0.755289,1.298928,1.089671,1.489859,1.250664,1.101108,1.568137,0.734393
"2-palmitoylglycerophosphoethanolamine*",0.516202,1.441681,0.831258,1.20681,0.747608,1.038141,0.750517,1.00756,1.075769,0.756105,1.301451,3.014407,0.891921,1.630744,0.99244,0.776951,1.525908,1.271688,0.612857,1.122333,0.654011,0.923756,1.329934,3.224075,1.332556,0.463382,2.667089,0.396158,0.395236,0.442236
"2-stearoylglycerophosphocholine*",0.658908,0.960421,0.970344,1.311774,0.905008,0.943902,1.072093,0.987655,1.291922,0.800294,0.818133,0.716122,1.517587,2.069305,1.047189,1.834748,0.651102,1.027813,1.074301,0.735147,0.703186,1.012345,0.704772,1.669021,1.033065,1.40978,0.698647,1.108572,1.283102,0.80987
"3-(2-hydroxyphenyl)propionate",0.824087,0.824087,0.824087,0.824087,0.824087,0.824087,0.824087,0.824087,0.824087,0.824087,1.066329,0.824087,0.824087,1.151898,0.824087,0.824087,0.827002,1.112097,0.824087,1.137077,0.933671,0.824087,0.824087,0.824087,0.824087,0.824087,0.856141,0.824087,0.824087,0.824087
"3-(4-hydroxyphenyl)lactate",1.057141,1.157139,0.857901,1.344652,0.776985,1.220062,1.007148,1.036608,0.983672,0.615518,0.893798,0.58137,0.756733,1.189448,0.692342,1.134893,1.014509,1.354457,0.871303,0.840441,0.992852,0.717071,1.181295,0.877228,1.020412,1.183053,1.678485,0.872661,0.877166,1.045701
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)",0.065919,0.061438,0.061438,0.065798,0.061438,0.075227,0.061438,0.061438,0.061438,0.061438,1.007979,0.855752,0.374953,1.031341,0.992021,1.15276,0.961132,1.335399,0.917204,1.234817,1.277008,0.955566,0.65963,1.172645,1.175576,1.040226,0.962833,1.143027,1.014549,1.311382
"3-dehydrocarnitine*",0.51014,0.372232,0.566364,0.462408,0.359928,0.359928,0.49895,0.516998,0.359928,0.359928,1.20704,0.913957,1.211835,1.059547,0.957873,1,1.498421,2.174018,1.089007,1.355561,1.558491,0.736586,2.845427,1.76812,0.721544,0.92603,2.978609,1.661548,0.900708,1.209802
"3-hydroxy-2-ethylpropionate",0.827677,0.550032,0.550032,0.550032,0.675311,0.550032,0.663081,0.550032,0.550032,0.550032,1.82985,0.984459,2.649364,0.550032,0.849759,0.587038,3.134652,1.220682,1.820471,0.994235,0.973511,0.550032,0.550032,2.134115,1.005765,0.550032,2.331281,1.094493,2.108005,0.92615
"3-hydroxybutyrate (BHBA)",0.855829,1.085446,0.676353,0.86174,0.961084,0.859032,1.292184,1.153996,0.655276,0.957772,1.16474,1.269433,1.814975,0.927367,0.506057,0.839128,2.492088,1.07327,1.970312,0.841844,0.776076,0.966955,1.855479,1.183387,0.468759,1.033045,2.420348,1.332266,1.894861,0.663593
"3-hydroxyisobutyrate",0.884947,0.76413,0.361477,0.892701,0.559071,0.641828,0.642836,0.99421,0.683708,0.731134,1.931469,0.717417,1.096078,1.448536,0.625749,0.939383,1.658486,1.50932,1.627977,1.401323,1.00579,0.988144,1.229464,1.244155,0.541568,1.191744,1.613644,1.386777,1.810292,1.661657
"3-indoxyl sulfate",0.865582,0.577423,0.757816,0.45991,0.831736,0.49998,0.670057,0.364836,0.635563,0.48888,1.516898,0.796074,1.058663,0.985555,1.39377,1.115355,1.528858,0.995099,1.025847,1.275622,1.12495,1.06792,1.367112,0.979987,1.114507,1.473951,1.004901,0.855665,1.056357,1.661759
"3-methyl-2-oxobutyrate",0.79076,0.679267,0.424976,0.590991,0.499728,1.420917,0.803007,0.721057,1.108537,0.817585,1.200543,1.048948,0.868662,1.191572,0.495214,1.322717,1.02619,1.151494,1.493384,0.625097,0.985197,0.919297,1.089659,1.559282,0.853428,1.704585,1.204428,1.014803,1.796307,0.944598
"3-methyl-2-oxovalerate",1.182878,0.980097,0.612263,0.764291,0.630348,1.344686,0.800482,0.748941,1.130028,0.694542,1.094942,0.80812,0.858398,1.268647,0.571147,0.900231,1.00876,1.199181,1.723807,0.845407,1.079108,1.053351,1.030111,1.022211,0.83998,1.188751,1.112189,0.99124,1.261303,0.868996
"3-phenylpropionate (hydrocinnamate)",0.417134,0.475302,0.269764,0.445884,0.558861,0.272056,0.396948,0.240733,0.541622,0.204115,0.968731,2.370205,1.171669,1.123663,1.304914,0.712365,2.208087,1.031269,1.716743,1.31642,0.784338,1.822202,1.510439,1.90303,2.106419,1.305238,2.050063,0.82633,1.365734,0.778102
"3-ureidopropionate",0.648593,0.849257,0.999391,0.586793,0.838049,0.544909,0.914443,1.232597,1.115434,0.591854,0.619006,0.913022,1.26951,0.951636,1.0837,0.629042,1.549706,1.345467,1.168319,1.259662,1.219762,1.066568,1.822566,0.914941,0.847426,0.778348,1.297821,1.447454,1.187654,1.000609
"4-androsten-3beta,17beta-diol disulfate 1*",0.843131,0.651728,0.932671,0.556818,0.429281,2.960791,2.894865,0.882289,0.364823,1.314735,0.987073,1.166092,1.012927,0.634985,0.364823,7.186708,2.698339,1.317415,0.641812,2.267112,0.582044,0.655396,1.500446,0.791098,0.364823,5.254075,1.099266,1.906971,0.601717,1.631173
"4-ethylphenylsulfate",0.290217,0.290217,0.290217,0.290217,0.290217,0.290217,0.290217,0.290217,0.290217,0.290217,1.01217,1.250332,0.650562,0.949956,0.858575,0.290217,1.555029,1.342488,0.98783,1.137726,0.309299,1.477835,1.422504,0.813132,1.72981,1.129334,3.131391,0.885909,0.857183,0.987107
"4-hydroxyphenylpyruvate",0.634869,0.634869,0.634869,0.634869,0.634869,0.634869,0.634869,0.634869,0.634869,0.634869,0.634869,0.634869,0.634869,0.98695,0.634869,0.634869,0.634869,0.708346,0.634869,1.02294,0.861037,0.634869,0.634869,0.634869,0.634869,0.634869,1.284297,0.634869,1.01305,1.383124
"4-methyl-2-oxopentanoate",0.955433,0.68109,0.394476,0.623201,0.569208,1.002216,0.637494,0.640058,1.033332,0.478313,1.211189,0.55639,0.881288,1.544781,0.543473,0.940445,1.107654,1.161095,1.689769,0.903327,1.071196,1.08121,1.220512,1.008976,0.8859,1.514636,1.4276,1.111321,1.503471,0.997784
"4-vinylphenol sulfate",0.695592,0.695592,0.695592,0.695592,0.695592,0.695592,0.695592,0.695592,0.695592,0.695592,1.601675,0.695592,0.744107,1.445379,1.454444,1.117636,1.836259,1.783099,1.49435,1.374509,1.047458,0.757804,0.849555,0.734088,0.952542,0.828558,8.165767,0.719248,0.736288,0.870978
"5,6-dihydrouracil",1.187982,0.36739,0.36739,1,0.36739,0.36739,1.032275,0.36739,0.36739,0.50186,1.947892,0.832664,1.291503,0.773658,0.680288,1.317475,1.278207,1.992461,2.01934,0.450196,0.36739,0.943039,0.946926,1.057035,0.36739,1.331399,0.893148,0.899357,1.234768,0.791717
"5-dodecenoate (12:1n7)",1.255084,1.264368,1.508038,2.247491,1.126212,1.022426,1.988472,1.441083,1.228393,0.999015,0.782865,1.044292,0.964438,1.000985,0.986472,0.965575,1.105479,0.685631,1.119159,0.484055,0.823651,0.707789,0.582725,1.027217,0.779443,0.557384,0.62159,1.322389,0.965067,0.68474
"5-HETE",2.457691,2.087742,3.044937,3.198725,1.468134,1.358203,2.606832,1.519253,2.586073,1.082473,0.917527,0.440594,0.123347,0.765108,1.138212,1.119353,0.123347,1.124267,1.379984,0.531727,0.342017,0.14679,0.123347,0.318089,0.699045,0.434863,0.153499,0.409146,0.44176,0.229751
"5-methyluridine (ribothymidine)",1.154093,1.435302,1.061631,0.895036,0.895036,1.233244,1.174235,0.895036,0.895036,0.925668,0.913927,0.895036,0.895036,0.895036,0.953604,0.895036,0.895036,0.895036,0.966495,1.009902,0.962791,1,0.895036,0.895036,0.895036,0.895036,0.895036,0.895036,0.895036,0.895036
"5-oxoproline",1.214747,0.9853,0.868227,1.157822,1.074423,1.122149,0.937007,0.986974,0.854706,1.066916,1.084211,0.924955,1.212877,1.1523,1.026808,1.14275,0.770546,1.526653,1.192484,1.133563,0.950772,0.995785,1.001945,1.095338,0.972534,0.960081,0.912022,0.912304,0.652244,0.998055
